id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
B9aH4hNZ,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Home Connect Dishwasher,Start program,This action will start the selected dishwasher program.,Appliance
BP4wBtDu,iHaus smoke detector,Smoke alarm,The trigger fires when your smoke detector detects a smoke alarm.,Home Connect Oven,Turn off oven,This action will turn off your oven.,Appliance
BPjvpQ6N,Nest Protect,Smoke alarm emergency,This Trigger fires every time the Nest Protect you specify detects dangerous smoke levels.,Home Connect Oven,Turn off oven,This action will turn off your oven.,Appliance
Bt8HQfDT,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Home Connect Hood,Turn off hood,This action will turn off your hood.,Appliance
C4UzAauC,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Home Connect Coffee Machine,Turn off coffee machine,This action will turn off your coffee machine.,Appliance
CPAhvC7m,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Home Connect Coffee Machine,Turn on coffee machine,This action will turn on your coffee machine.,Appliance
CdyaqQPX,Vimar VIEW,Exchanged Power single phase,This trigger fires when the exchanged power satisfies a condition with a threshold ,Home Connect Dishwasher,Turn on dishwasher,This action will turn on your dishwasher.,Appliance
DAJUBR7F,Niko Home Control,Device turned on,Device turned on,Home Connect Dishwasher,Start program,This action will start the selected dishwasher program.,Appliance
EGSwHEVs,Telegram,New message with key phrase to @IFTTT,This trigger fires when you send a text message with a key phrase to the @IFTTT bot on Telegram.,Home Connect Oven,Preheat oven,This action will preheat your oven using the hot air program with the fast preheat option.,Appliance
Et2EjePp,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Home Connect Coffee Machine,Turn off coffee machine,This action will turn off your coffee machine.,Appliance
FB375Jkq,AL-KO Smart Garden,Smart lawnmower button press once,when the smart button of the lawnmower has pressed once,Home Connect Coffee Machine,Start coffee program,This action will start the selected coffee program with your preferred settings.,Appliance
FDiWNuyU,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Home Connect Coffee Machine,Start coffee world program,This action will start the selected coffee world program with your preferred settings.,Appliance
