id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
2t_0laov,Weather Underground,Current condition changes to,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",LIFX,Change color of lights,This Action will change the color of your lights.,Light
3YTfci83,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Philips Hue,Turn on lights,This Action will turn on your hue lights.,Light
5WNCtNZz,SpotCam,Motion event detected,This Trigger fires every time a motion event is detected.,LIFX,Blink lights,This Action will make your lights quickly blink the color of your choice.,Light
6HyirEwt,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Philips Hue,Turn off lights,This Action will turn off your hue lights.,Light
8gGhZ9wx,August,Lock unlocked by specific person,This Trigger fires every time your lock is unlocked by a specific person.,LIFX,Turn lights on,This Action will turn your lights on.,Light
9EW9URq7,SpotCam,Audio event detected,This Trigger fires every time an audio event is detected.,LIFX,Blink lights,This Action will make your lights quickly blink the color of your choice.,Light
A2DB4FNG,MyQ,Door opened,This trigger fires when a door is opened.,Lutron Caséta and RA2 Select,Activate scene,This Action will adjust multiple lights and shades together by activating a scene created in the Lutron app.,Light
A3fZ6aAT,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Philips Hue,Turn off lights,This Action will turn off your hue lights.,Light
A3g4ekb6,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Philips Hue,Turn on color loop,This Action will turn on a slow color loop effect for your hue lights. NOTE: not compatible with hue lux bulbs.,Light
A3q48iQs,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,Philips Hue,Set a scene in a room,"This Action well set a scene on your hue lights. NOTE: in order to add lights to a room, you must be using the newest version of the Hue app",Light
A3xtz2KY,Orion - Voice for Teams,Listen for a word or phrase,This trigger fires every time you or someone in your Orion group says a particular word or phrase.,Philips Hue,Turn off lights,This Action will turn off your hue lights.,Light
A4ubWDkp,SmartThings,Temperature rises above,This Trigger fires every time your SmartThings device detects temperatures above a value you specify.,WiZ,Turn on / change light mode,"This action will turn on the selected light(s). Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming.",Light
A5DdU3ZE,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,Philips Hue,Dim lights,This Action will dim or brighten your hue lights to a value between 0-100.,Light
A5drfBcq,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Philips Hue,Turn on lights,This Action will turn on your hue lights.,Light
A5zWnYxF,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Philips Hue,Turn off lights,This Action will turn off your hue lights.,Light
A7LWsG4c,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Philips Hue,Turn on lights,This Action will turn on your hue lights.,Light
A7isx4kY,Nuki Smart Lock,Arrive home,This trigger fires every time someone unlocks the door with Auto Unlock.,Philips Hue,Turn on lights,This Action will turn on your hue lights.,Light
A7vqB6aK,eWeLink Smart Home,1-Channel Switch turned on or off,This trigger fires when your eWeLink Support 1-Channel Switch is turned on or off.,Philips Hue,Turn off lights,This Action will turn off your hue lights.,Light
A8vwSAns,Weather Underground,Current condition changes to,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Philips Hue,Change color,This Action will change the color of your hue lights. NOTE: Accepts color names and CSS hex color values. Defaults to white if no color match is found. NOTE: not compatible with hue lux bulbs.,Light
AA5CbnP8,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Philips Hue,Turn on lights,This Action will turn on your hue lights.,Light
AAP7vVCc,Spotify,New track added to a playlist,This Trigger fires every time a new track is added to a playlist you specify.,Philips Hue,Turn on color loop,This Action will turn on a slow color loop effect for your hue lights. NOTE: not compatible with hue lux bulbs.,Light
AAWYwkZu,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,Philips Hue,Change color,This Action will change the color of your hue lights. NOTE: Accepts color names and CSS hex color values. Defaults to white if no color match is found. NOTE: not compatible with hue lux bulbs.,Light
AAc7g5Cw,Ring,New Motion Detected,This Trigger fires every time a motion is detected at the given doorbell.,WeMo Light Switch,Turn on,"This Action will turn a WeMo Light Switch on. If the WeMo Switch is already on, it will remain on.",Light
ABCWe6jE,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Philips Hue,Turn on lights,This Action will turn on your hue lights.,Light
ABVQacds,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Philips Hue,Turn on lights,This Action will turn on your hue lights.,Light
ACcTwiNX,SpotCam,Audio event detected,This Trigger fires every time an audio event is detected.,Philips Hue,Blink lights,This Action will briefly turn your hue lights off then back on.,Light
ADU23fHT,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Philips Hue,Turn on lights,This Action will turn on your hue lights.,Light
ADawUGV9,Amazon Alexa,Your Alarm goes off,This Trigger fires every time your alarm goes off.,LIFX,Turn lights on,This Action will turn your lights on.,Light
AEDLSMPu,Somfy Connected Thermostat,Thermostat set to a mode,This Trigger fires every time the thermostat you specify is set to a certain heating mode.,Philips Hue,Turn off lights,This Action will turn off your hue lights.,Light
