triggerDesc,trigger_starts_with_ok,trigger_contains_numbers,trigger_contains_timewords
This Trigger fires when global air pollution is higher than 50.,True,True,False
"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",False,False,True
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
This Trigger fires every time a motion event is detected.,True,False,True
This Trigger fires every time you exit an area you specify.,True,False,True
This Trigger fires every time your lock is unlocked by a specific person.,True,False,True
This Trigger fires every time an audio event is detected.,True,False,True
This trigger fires when a door is opened.,True,False,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This trigger fires when a selected member arrives.,True,False,False
This Trigger fires every time you exit an area you specify.,True,False,True
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
This Trigger fires only on specific days of the week at the time you provide.,True,False,True
This trigger fires every time you or someone in your Orion group says a particular word or phrase.,True,False,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This Trigger fires every time your lock is unlocked by a specific person.,True,False,True
This trigger fires if Aura detects motion. Note: this trigger only works with the first generation of Aura devices (sold prior to October 2017).,True,True,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This Trigger fires every time your SmartThings device detects temperatures above a value you specify.,True,False,True
This trigger fires when a selected member arrives.,True,False,False
This Trigger fires only on specific days of the week at the time you provide.,True,False,True
This trigger fires if Aura detects motion when set to Night scene.,True,False,False
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
This trigger fires when the scene is changed to the selected scene.,True,False,False
This Trigger fires every time you enter an area you specify.,True,False,True
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
This trigger fires every time IFTTT receives a specific event from Apilio.,True,False,True
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
This trigger fires every time someone unlocks the door with Auto Unlock.,True,False,True
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
This trigger fires when your eWeLink Support 1-Channel Switch is turned on or off.,True,True,False
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This Trigger fires every time you miss a phone call on your Android device.,True,False,True
This Trigger fires every time the power rises above the specified value in watts.,True,False,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",False,False,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
This Trigger fires every time a new track is added to a playlist you specify.,True,False,True
This Trigger fires only on specific days of the week at the time you provide.,True,False,True
This trigger monitors the UbiBot device's built-in temperature sensor readings and fires whenever the temperature rises above or drops below the value you provide.,False,False,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This Trigger fires every time a motion is detected at the given doorbell.,True,False,True
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
This trigger fires if Aura detects motion. Note: this trigger only works with the first generation of Aura devices (sold prior to October 2017).,True,True,False
This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,False,False,False
This Trigger fires every time an audio event is detected.,True,False,True
This trigger fires when a selected member arrives.,True,False,False
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This Trigger fires every time the temperature rises above a threshold you specify.,True,False,True
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
This Trigger fires every time your alarm goes off.,True,False,True
This Trigger fires every time the thermostat you specify is set to a certain heating mode.,True,False,True
"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",False,False,True
This Trigger fires every time you create a new plain text status message on Facebook.,True,False,True
This trigger fires when your order is out for delivery.,True,False,False
"This trigger fires every time your dryer cycle is complete. This requires both the drying and wrinkle guard to be finished, in case you were using wrinkle guard.",True,False,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This trigger fires every time you press the button.,True,False,True
This trigger fires when a selected member arrives.,True,False,False
This trigger fires when a selected member arrives.,True,False,False
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This Trigger fires every time the carbon dioxide rises above a value you specify.,True,False,True
This trigger fires when a selected member arrives.,True,False,False
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This trigger fires when a selected member arrives.,True,False,False
Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,False,True,True
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This trigger fires when the scene is changed to the selected scene.,True,False,False
This Trigger fires every time you exit an area you specify.,True,False,True
This trigger fires when the scene is changed to the selected scene.,True,False,False
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This Trigger fires when you tap the 'Night mode' or 'Day mode' buttons in the Eight App.,True,False,True
"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",True,False,True
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
This trigger fires if Aura detects motion when set to the Away scene.,True,False,False
This Trigger fires every time your Android device connects to a WiFi network you specify.,True,False,True
This trigger fires if Aura detects motion. Note: this trigger only works with the first generation of Aura devices (sold prior to October 2017).,True,True,False
This Trigger fires every single day at a specific time set by you.,True,False,True
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
This Trigger fires every single day at a specific time set by you.,True,False,True
"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",True,False,True
This Trigger fires every single day at a specific time set by you.,True,False,True
This trigger fires when it's time for prayer.,True,False,False
"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",True,False,True
"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",True,False,True
This Trigger fires within 15 minutes of the sunset in your location.,True,True,True
