id,triggerDesc,deviceCategory
2t_0laov,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
A8vwSAns,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
AAY7cbwT,This trigger monitors the UbiBot device's built-in temperature sensor readings and fires whenever the temperature rises above or drops below the value you provide.,Generic/Other
ACRXkehA,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
AEUdqCiL,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
AKUGgTua,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,Light
ASpW3TGQ,This trigger is fired from the assigned pusher on your Festina watch.,Light
ATR9EuDh,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
AU5VKeyd,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
AY5hUui7,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Thermostat/Heating
Aai3n29k,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Light
Adrjbe4C,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
Af6v4My5,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,Generic/Other
AfrNtPsg,This Trigger monitors changes in your thermostat's measured temperature and fires if it exceeds a certain threshold.,Light
AgaFsChz,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Generic/Other
AibFT7xn,"A Trigger that monitors changes in your Facebook profile information. It works with these Facebook profile fields: Name, Profile picture, Location, Website, and Bio.",Light
Aq8WnPB7,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Generic/Other
AqMYG5sV,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Generic/Other
AuDpdQXz,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
B67BTHXb,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,Generic/Other
BB5AfjJZ,This trigger recommends a new Applet every day at the time you specify.,Light
BHrVPjZx,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",Light
